,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,anom_fraction,dataset
64,0.9121449452904447,0.9808436362040978,0.8875943905070118,0.9634660421545668,0.8228,18.629033088684082,Completed,DAE,50000,minmax,none,,0.02,0.05,shuttle
65,0.5089884613721192,0.9569345500811652,0.6580847723704866,0.5416020671834625,0.8384,5.054961204528809,Completed,HST,50000,minmax,none,,,0.05,shuttle
66,0.9327471195670269,0.9834422410389154,0.9283449587824985,0.9843119677274764,0.8784,20.647117853164673,Completed,PW-AE,50000,minmax,none,,0.1,0.05,shuttle
67,0.9454821376481579,0.985614855438073,0.9416390728476821,0.975557461406518,0.91,18.623613357543945,Completed,DAE,50000,minmax,none,,0.02,0.05,shuttle
68,0.920048639435741,0.9805976133023298,0.8913744075829383,0.8472072072072072,0.9404,5.064741373062134,Completed,HST,50000,minmax,none,,,0.05,shuttle
69,0.953206372803772,0.9861265739481418,0.9510576524263792,0.987510766580534,0.9172,20.716121196746826,Completed,PW-AE,50000,minmax,none,,0.1,0.05,shuttle
70,0.9200692884738076,0.9835328039310315,0.918872758326217,0.9853479853479854,0.8608,18.671191930770874,Completed,DAE,50000,minmax,none,,0.02,0.05,shuttle
71,0.3850757571756789,0.935021401307419,0.5076071922544951,0.4470158343483557,0.5872,5.075520277023315,Completed,HST,50000,minmax,none,,,0.05,shuttle
72,0.9376385558656383,0.9846510507611986,0.9299470899470899,0.9874157303370786,0.8788,20.545777559280396,Completed,PW-AE,50000,minmax,none,,0.1,0.05,shuttle
73,0.8949755108856271,0.9797366472162505,0.8992281303602059,0.9690388170055453,0.8388,18.76549196243286,Completed,DAE,50000,minmax,none,,0.02,0.05,shuttle
74,0.6179422473533787,0.95924303952968,0.7296903460837886,0.6698996655518394,0.8012,4.991816997528076,Completed,HST,50000,minmax,none,,,0.05,shuttle
75,0.9659458151339845,0.9873986533333334,0.9589210336662206,0.9881179715680034,0.9314,21.434797286987305,Completed,PW-AE,50000,minmax,none,,0.1,0.1,shuttle
76,0.9068438718304885,0.9800748888888888,0.8393497994511293,0.8886902101028162,0.7952,19.43508791923523,Completed,DAE,50000,minmax,none,,0.02,0.1,shuttle
77,0.7915279733850764,0.9648699666666666,0.8305659703624352,0.7500806191551113,0.9304,5.173473834991455,Completed,HST,50000,minmax,none,,,0.1,shuttle
78,0.9621942535180381,0.9875797022222224,0.9441624365482233,0.9793681495809156,0.9114,21.460136651992798,Completed,PW-AE,50000,minmax,none,,0.1,0.1,shuttle
79,0.928064183020616,0.9811848222222223,0.8784812767289037,0.9180292129932418,0.8422,19.432900428771973,Completed,DAE,50000,minmax,none,,0.02,0.1,shuttle
80,0.7729429622453081,0.9679348266666667,0.8171715361175839,0.7403377720038974,0.9118,5.290648937225342,Completed,HST,50000,minmax,none,,,0.1,shuttle
81,0.9599309646176224,0.98631912,0.9402829796088223,0.9798352124891587,0.9038,21.389811992645264,Completed,PW-AE,50000,minmax,none,,0.1,0.1,shuttle
82,0.8789597600492923,0.9748090933333332,0.8062487319943193,0.8180321119802387,0.7948,19.775787353515625,Completed,DAE,50000,minmax,none,,0.02,0.1,shuttle
83,0.6182347618491209,0.9470900088888888,0.7235041063746579,0.5940912010276173,0.925,5.251036643981934,Completed,HST,50000,minmax,none,,,0.1,shuttle
84,0.9534841903944822,0.9855438266666667,0.9279466888796336,0.9678540399652477,0.8912,21.426424503326416,Completed,PW-AE,50000,minmax,none,,0.1,0.1,shuttle
85,0.8742026374190266,0.9750046177777777,0.8066679818504635,0.7958349552355002,0.8178,19.553338050842285,Completed,DAE,50000,minmax,none,,0.02,0.1,shuttle
86,0.9000065035949709,0.9751225844444443,0.903300521134916,0.8728086534875047,0.936,5.254969835281372,Completed,HST,50000,minmax,none,,,0.1,shuttle
87,0.9585949271102248,0.9860299600000001,0.9390193654717758,0.9681393372982158,0.9116,21.707812786102295,Completed,PW-AE,50000,minmax,none,,0.1,0.1,shuttle
88,0.9053963277074373,0.9780372044444444,0.8430750332685023,0.8634933948416859,0.8236,19.615912437438965,Completed,DAE,50000,minmax,none,,0.02,0.1,shuttle
89,0.7877674676288016,0.9639153777777778,0.8630262915977202,0.7985709424974481,0.9388,5.2509446144104,Completed,HST,50000,minmax,none,,,0.1,shuttle
